event_type,resource_id,resource_name,resource_type,enterprise_id,timestamp,client_ip,geoip,user_agent,success
user_login_event,user_16,user_16,user,enterprise_1,2025-05-01T05:37:44,222.99.20.219,"{""country_code"": ""KR"", ""continent_code"": ""AS"", ""region_name"": ""Seoul"", ""region_code"": ""KR"", ""timezone"": ""Asia/Seoul"", ""latitude"": 37.3777, ""longitude"": 127.1264}","{""browser"": ""Firefox"", ""browser_version"": ""110.0"", ""os"": ""MacOS"", ""os_version"": ""12.0"", ""device"": ""US-Linux-Box""}",True
user_login_event,user_16,user_16,user,enterprise_1,2025-06-11T09:37:44,211.45.75.204,"{""country_code"": ""KR"", ""continent_code"": ""AS"", ""region_name"": ""Seoul"", ""region_code"": ""KR"", ""timezone"": ""Asia/Seoul"", ""latitude"": 37.3272, ""longitude"": 126.1383}","{""browser"": ""Firefox"", ""browser_version"": ""114.0"", ""os"": ""MacOS"", ""os_version"": ""10.0"", ""device"": ""US-MacBook.local""}",True
user_login_event,user_5,user_5,user,enterprise_9,2025-04-04T07:37:44,222.99.110.143,"{""country_code"": ""KR"", ""continent_code"": ""AS"", ""region_name"": ""Seoul"", ""region_code"": ""KR"", ""timezone"": ""Asia/Seoul"", ""latitude"": 37.9344, ""longitude"": 126.4347}","{""browser"": ""Chrome"", ""browser_version"": ""115.0"", ""os"": ""Windows"", ""os_version"": ""11.0"", ""device"": ""Office-Desktop""}",True
user_login_event,user_2,user_2,user,enterprise_5,2025-04-18T11:37:44,222.99.140.47,"{""country_code"": ""KR"", ""continent_code"": ""AS"", ""region_name"": ""Seoul"", ""region_code"": ""KR"", ""timezone"": ""Asia/Seoul"", ""latitude"": 37.9515, ""longitude"": 126.5347}","{""browser"": ""Chrome"", ""browser_version"": ""114.0"", ""os"": ""Linux"", ""os_version"": ""11.0"", ""device"": ""US-Windows-PC""}",True
user_login_event,user_16,user_16,user,enterprise_1,2025-06-20T07:37:44,104.192.13.17,"{""country_code"": ""US"", ""continent_code"": ""NA"", ""region_name"": ""New York"", ""region_code"": ""US"", ""timezone"": ""America/New_York"", ""latitude"": 41.1827, ""longitude"": -74.9718}","{""browser"": ""Bot-Client"", ""browser_version"": ""115.0"", ""os"": ""MacOS"", ""os_version"": ""13.0"", ""device"": ""Mobile-Phone""}",False
user_login_event,user_17,user_17,user,enterprise_2,2025-04-17T04:37:44,213.87.107.246,"{""country_code"": ""RU"", ""continent_code"": ""EU"", ""region_name"": ""Moscow"", ""region_code"": ""RU"", ""timezone"": ""Europe/Moscow"", ""latitude"": 55.8124, ""longitude"": 37.5751}","{""browser"": ""Safari"", ""browser_version"": ""113.0"", ""os"": ""MacOS"", ""os_version"": ""11.0"", ""device"": ""MacBook-Pro.local""}",True
user_login_event,user_17,user_17,user,enterprise_2,2025-05-18T04:37:44,213.87.17.57,"{""country_code"": ""RU"", ""continent_code"": ""EU"", ""region_name"": ""Moscow"", ""region_code"": ""RU"", ""timezone"": ""Europe/Moscow"", ""latitude"": 55.9866, ""longitude"": 37.5837}","{""browser"": ""Firefox"", ""browser_version"": ""114.0"", ""os"": ""MacOS"", ""os_version"": ""11.0"", ""device"": ""Office-Desktop""}",True
user_login_event,user_6,user_6,user,enterprise_4,2025-04-15T07:37:44,103.248.96.222,"{""country_code"": ""IN"", ""continent_code"": ""AS"", ""region_name"": ""New Delhi"", ""region_code"": ""IN"", ""timezone"": ""Asia/Kolkata"", ""latitude"": 28.4622, ""longitude"": 77.2856}","{""browser"": ""Safari"", ""browser_version"": ""114.0"", ""os"": ""Windows"", ""os_version"": ""12.0"", ""device"": ""Mobile-Phone""}",True
user_login_event,user_18,user_18,user,enterprise_9,2025-04-06T05:37:44,175.223.209.72,"{""country_code"": ""KR"", ""continent_code"": ""AS"", ""region_name"": ""Seoul"", ""region_code"": ""KR"", ""timezone"": ""Asia/Seoul"", ""latitude"": 37.2155, ""longitude"": 127.0975}","{""browser"": ""Edge"", ""browser_version"": ""112.0"", ""os"": ""MacOS"", ""os_version"": ""13.0"", ""device"": ""Mobile-Phone""}",True
user_login_event,user_9,user_9,user,enterprise_3,2025-04-12T10:37:44,195.154.153.79,"{""country_code"": ""FR"", ""continent_code"": ""EU"", ""region_name"": ""Paris"", ""region_code"": ""FR"", ""timezone"": ""Europe/Paris"", ""latitude"": 48.8926, ""longitude"": 2.4731}","{""browser"": ""Firefox"", ""browser_version"": ""110.0"", ""os"": ""Windows"", ""os_version"": ""10.0"", ""device"": ""Shared-Workstation""}",True
