event_type,geoip,client_ip,user_agent,resource_id,resource_name,resource_type,timestamp,enterprise_id,success
user_login_event,"{""country_code"": ""FR"", ""continent_code"": ""EU"", ""region_name"": ""Paris"", ""region_code"": ""FR"", ""timezone"": ""Europe/Paris"", ""latitude"": 48.9139, ""longitude"": 2.4739}",62.147.190.195,"{""browser"": ""Safari"", ""browser_version"": ""14.0"", ""os"": ""MacOS"", ""os_version"": ""11.0"", ""device"": ""Hotel-PC""}",590538,user_1,user,2025-06-21T11:23:49,enterprise_5,True
user_login_event,"{""country_code"": ""FR"", ""continent_code"": ""EU"", ""region_name"": ""Paris"", ""region_code"": ""FR"", ""timezone"": ""Europe/Paris"", ""latitude"": 48.8626, ""longitude"": 2.3615}",62.147.141.65,"{""browser"": ""Safari"", ""browser_version"": ""14.0"", ""os"": ""MacOS"", ""os_version"": ""11.0"", ""device"": ""Shared-Workstation""}",590538,user_1,user,2025-06-22T10:59:59,enterprise_3,True
user_login_event,"{""country_code"": ""FR"", ""continent_code"": ""EU"", ""region_name"": ""Paris"", ""region_code"": ""FR"", ""timezone"": ""Europe/Paris"", ""latitude"": 48.8888, ""longitude"": 2.5617}",195.154.176.70,"{""browser"": ""Firefox"", ""browser_version"": ""113.0"", ""os"": ""MacOS"", ""os_version"": ""13.0"", ""device"": ""Shared-Workstation""}",590538,user_1,user,2025-06-23T21:41:52,enterprise_9,True
user_login_event,"{""country_code"": ""FR"", ""continent_code"": ""EU"", ""region_name"": ""Paris"", ""region_code"": ""FR"", ""timezone"": ""Europe/Paris"", ""latitude"": 48.903, ""longitude"": 2.4574}",195.154.97.102,"{""browser"": ""Chrome"", ""browser_version"": ""114.0"", ""os"": ""MacOS"", ""os_version"": ""12.0"", ""device"": ""Shared-Workstation""}",590538,user_1,user,2025-06-24T09:21:34,enterprise_2,False
user_login_event,"{""country_code"": ""FR"", ""continent_code"": ""EU"", ""region_name"": ""Paris"", ""region_code"": ""FR"", ""timezone"": ""Europe/Paris"", ""latitude"": 48.8991, ""longitude"": 2.0557}",62.147.89.95,"{""browser"": ""Chrome"", ""browser_version"": ""114.0"", ""os"": ""MacOS"", ""os_version"": ""12.0"", ""device"": ""Airport-Terminal""}",590538,user_1,user,2025-06-25T16:12:25,enterprise_9,True
user_login_event,"{""country_code"": ""FR"", ""continent_code"": ""EU"", ""region_name"": ""Paris"", ""region_code"": ""FR"", ""timezone"": ""Europe/Paris"", ""latitude"": 48.9671, ""longitude"": 2.1035}",62.147.68.197,"{""browser"": ""Chrome"", ""browser_version"": ""114.0"", ""os"": ""MacOS"", ""os_version"": ""12.0"", ""device"": ""Airport-Terminal""}",590538,user_1,user,2025-06-26T21:50:14,enterprise_3,True
user_login_event,"{""country_code"": ""FR"", ""continent_code"": ""EU"", ""region_name"": ""Paris"", ""region_code"": ""FR"", ""timezone"": ""Europe/Paris"", ""latitude"": 48.8728, ""longitude"": 2.3916}",195.154.158.194,"{""browser"": ""Firefox"", ""browser_version"": ""113.0"", ""os"": ""MacOS"", ""os_version"": ""13.0"", ""device"": ""Hotel-PC""}",590538,user_1,user,2025-06-27T10:16:27,enterprise_1,True
user_login_event,"{""country_code"": ""FR"", ""continent_code"": ""EU"", ""region_name"": ""Paris"", ""region_code"": ""FR"", ""timezone"": ""Europe/Paris"", ""latitude"": 48.8659, ""longitude"": 2.3789}",90.63.236.250,"{""browser"": ""Chrome"", ""browser_version"": ""114.0"", ""os"": ""MacOS"", ""os_version"": ""12.0"", ""device"": ""Airport-Terminal""}",590538,user_1,user,2025-06-28T18:56:29,enterprise_2,True
user_login_event,"{""country_code"": ""FR"", ""continent_code"": ""EU"", ""region_name"": ""Paris"", ""region_code"": ""FR"", ""timezone"": ""Europe/Paris"", ""latitude"": 48.972, ""longitude"": 2.3898}",90.63.196.112,"{""browser"": ""Firefox"", ""browser_version"": ""113.0"", ""os"": ""MacOS"", ""os_version"": ""13.0"", ""device"": ""Shared-Workstation""}",590538,user_1,user,2025-06-29T20:13:29,enterprise_1,True
user_login_event,"{""country_code"": ""FR"", ""continent_code"": ""EU"", ""region_name"": ""Paris"", ""region_code"": ""FR"", ""timezone"": ""Europe/Paris"", ""latitude"": 48.926, ""longitude"": 2.0125}",62.147.241.242,"{""browser"": ""Firefox"", ""browser_version"": ""113.0"", ""os"": ""MacOS"", ""os_version"": ""13.0"", ""device"": ""Shared-Workstation""}",590538,user_1,user,2025-06-30T15:04:57,enterprise_1,False
user_login_event,"{""country_code"": ""FR"", ""continent_code"": ""EU"", ""region_name"": ""Paris"", ""region_code"": ""FR"", ""timezone"": ""Europe/Paris"", ""latitude"": 48.8508, ""longitude"": 2.0814}",90.63.251.69,"{""browser"": ""Safari"", ""browser_version"": ""14.0"", ""os"": ""MacOS"", ""os_version"": ""11.0"", ""device"": ""Shared-Workstation""}",590538,user_1,user,2025-07-01T19:47:46,enterprise_2,True
user_login_event,"{""country_code"": ""FR"", ""continent_code"": ""EU"", ""region_name"": ""Paris"", ""region_code"": ""FR"", ""timezone"": ""Europe/Paris"", ""latitude"": 48.9097, ""longitude"": 2.3719}",195.154.7.129,"{""browser"": ""Safari"", ""browser_version"": ""14.0"", ""os"": ""MacOS"", ""os_version"": ""11.0"", ""device"": ""Airport-Terminal""}",590538,user_1,user,2025-07-02T15:40:36,enterprise_3,True
user_login_event,"{""country_code"": ""FR"", ""continent_code"": ""EU"", ""region_name"": ""Paris"", ""region_code"": ""FR"", ""timezone"": ""Europe/Paris"", ""latitude"": 48.9642, ""longitude"": 2.4063}",90.63.198.245,"{""browser"": ""Firefox"", ""browser_version"": ""113.0"", ""os"": ""MacOS"", ""os_version"": ""13.0"", ""device"": ""Shared-Workstation""}",590538,user_1,user,2025-07-03T17:30:08,enterprise_7,True
user_login_event,"{""country_code"": ""FR"", ""continent_code"": ""EU"", ""region_name"": ""Paris"", ""region_code"": ""FR"", ""timezone"": ""Europe/Paris"", ""latitude"": 48.8246, ""longitude"": 2.1467}",90.63.90.80,"{""browser"": ""Safari"", ""browser_version"": ""14.0"", ""os"": ""MacOS"", ""os_version"": ""11.0"", ""device"": ""Airport-Terminal""}",590538,user_1,user,2025-07-04T19:52:22,enterprise_2,True
